timestamp,side,price
1469404960039975,:a,1.09713
1469404960043495,:b,1.09709
1469404960043495,:a,1.09712
1469404960049731,:b,1.09709
1469404960049731,:a,1.09712
1469404960057678,:b,1.09708
1469404960057678,:a,1.09712
1469404960066982,:b,1.09708
1469404960066982,:a,1.09712
1469404960067523,:b,1.0971
1469404960067523,:a,1.09712
1469404960079412,:b,1.09709
1469404960079412,:a,1.09712
1469404960083140,:b,1.09708
1469404960083140,:a,1.09712
1469404960084766,:b,1.09708
1469404960084766,:a,1.09712
1469404960263814,:b,1.09708
1469404960263814,:a,1.09712
1469404960264209,:b,1.0971
1469404960264209,:a,1.09712
1469404960290488,:b,1.09709
1469404960290488,:a,1.09712
1469404960293703,:b,1.09709
1469404960293703,:a,1.09713
1469404960294569,:b,1.09708
1469404960294569,:a,1.09713
1469404960401450,:b,1.09709
1469404960401450,:a,1.09713
1469404960535709,:b,1.09709
1469404960535709,:a,1.09713
1469404960716426,:b,1.09709
1469404960716426,:a,1.09712
1469404960716455,:b,1.09709
1469404960716455,:a,1.09712
1469404960734488,:b,1.09708
1469404960734488,:a,1.09712
1469404960738460,:b,1.09706
1469404960738460,:a,1.09712
1469404960740616,:b,1.09706
1469404960740616,:a,1.09712
1469404960808302,:b,1.09706
1469404960808302,:a,1.09712
1469404961179796,:b,1.09707
1469404961179796,:a,1.09712
1469404961261793,:b,1.09706
1469404961261793,:a,1.09712
1469404961388879,:b,1.09706
1469404961388879,:a,1.09712
1469404961389238,:b,1.09708
1469404961389238,:a,1.09712
1469404962549063,:b,1.09707
1469404962549063,:a,1.09712
1469404962553067,:b,1.09706
1469404962553067,:a,1.09712
1469404962575572,:b,1.09706
1469404962575572,:a,1.09712
1469404962741007,:b,1.09707
1469404962741007,:a,1.09712
1469404963134792,:b,1.09707
1469404963134792,:a,1.0971
1469404963134959,:b,1.09707
1469404963134959,:a,1.09709
1469404963144232,:b,1.09707
1469404963144232,:a,1.0971
1469404963144377,:b,1.09707
1469404963144377,:a,1.09711
1469404963145697,:b,1.09707
1469404963145697,:a,1.09711
1469404963154576,:b,1.09707
1469404963154576,:a,1.09709
1469404963265236,:b,1.09706
1469404963265236,:a,1.09709
1469404963269294,:b,1.09705
1469404963269294,:a,1.09709
1469404963287909,:b,1.09705
1469404963287909,:a,1.09709
1469404964006879,:b,1.09706
1469404964006879,:a,1.09709
1469404964007608,:b,1.09706
1469404964007608,:a,1.09711
1469404964009026,:b,1.09706
1469404964009026,:a,1.09711
1469404964009476,:b,1.09706
1469404964009476,:a,1.09711
1469404964540306,:b,1.09706
1469404964540306,:a,1.09711
1469404964540384,:b,1.09706
1469404964540384,:a,1.09712
1469404977464461,:b,1.09706
1469404977464461,:a,1.09712
1469404986300273,:b,1.09706
1469404986300273,:a,1.09713
1469404986409234,:b,1.09706
1469404986409234,:a,1.09713
1469404986460263,:b,1.09707
1469404986460263,:a,1.09713
1469404986460273,:b,1.09707
1469404986460273,:a,1.09713
1469404986460816,:b,1.09707
1469404986460816,:a,1.09713
1469404986460826,:b,1.09707
1469404986460826,:a,1.09713
1469404986460826,:b,1.09707
1469404986460826,:a,1.09713
1469404986460873,:b,1.09707
1469404986460873,:a,1.09713
1469404986460884,:b,1.09707
1469404986460884,:a,1.09713
1469404986461158,:b,1.09707
1469404986461158,:a,1.09713
1469404986462138,:b,1.09707
1469404986462138,:a,1.09713
1469404986464560,:b,1.09707
1469404986464560,:a,1.09713
1469404986464575,:b,1.09707
1469404986464575,:a,1.09713
1469404986464684,:b,1.09707
1469404986464684,:a,1.09712
1469404986464785,:b,1.09707
1469404986464785,:a,1.09712
1469404986464788,:b,1.09707
1469404986464788,:a,1.09712
1469404986464905,:b,1.09706
1469404986464905,:a,1.09712
1469404986465138,:b,1.09706
1469404986465138,:a,1.09712
1469404986466377,:b,1.09706
1469404986466377,:a,1.09712
1469404986466701,:b,1.09706
1469404986466701,:a,1.09712
1469404986466712,:b,1.09706
1469404986466712,:a,1.09712
1469404986466721,:b,1.09706
1469404986466721,:a,1.09712
1469404986466806,:b,1.09706
1469404986466806,:a,1.09712
1469404986466917,:b,1.09706
1469404986466917,:a,1.09712
1469404986467184,:b,1.09706
1469404986467184,:a,1.09712
1469404986469224,:b,1.09706
1469404986469224,:a,1.09712
1469404986474414,:b,1.09706
1469404986474414,:a,1.09712
1469404986504417,:b,1.09707
1469404986504417,:a,1.09712
1469404986504421,:b,1.09707
1469404986504421,:a,1.09712
1469404986504422,:b,1.09707
1469404986504422,:a,1.09712
1469404986504430,:b,1.09707
1469404986504430,:a,1.09712
1469404986504480,:b,1.09707
1469404986504480,:a,1.09712
1469404986505076,:b,1.09707
1469404986505076,:a,1.09712
1469404986505108,:b,1.09707
1469404986505108,:a,1.09712
1469404986505126,:b,1.09707
1469404986505126,:a,1.09712
1469404986505777,:b,1.09707
1469404986505777,:a,1.09713
1469404986506226,:b,1.09707
1469404986506226,:a,1.09713
1469404986510812,:b,1.09707
1469404986510812,:a,1.09713
1469404986526393,:b,1.09707
1469404986526393,:a,1.09713
1469404987687676,:b,1.09707
1469404987687676,:a,1.09713
1469404987687688,:b,1.09707
1469404987687688,:a,1.09713
1469404989059149,:b,1.09707
1469404989059149,:a,1.09713
1469404989059203,:b,1.09707
1469404989059203,:a,1.09713
1469404989059266,:b,1.09707
1469404989059266,:a,1.09713
1469404989059284,:b,1.09707
